quantity,value
zeta_prime_TT,-2.772222222222222
zeta_prime_ghost,-0.6055555555555555
zeta_prime_trace,0.030555555555555555
C_grav,-0.7652777777777778
C_grav,-0.7652777777777778
C_grav_exact,-0.7652777777777777
delta,-0.13547617037431567
delta_exact,-0.13547617037431567
delta_err,0.0
