n_qubits,epsilon,epsilon_err,s_inf,s_inf_err,r2,model
4,0.2619048088987904,0.09208172791106393,0.959933738922041,0.02638315612330471,0.5993946626677408,base
6,0.3712350110314162,0.1210383744455633,0.9670069099639826,0.019894664647149955,0.6808252165035599,base
8,0.2928662124545303,0.2716382829334008,0.9999999999999996,0.12169011805452268,0.5951523410987476,base
