n_qubits,sample,entropy_raw,entropy_norm,circuit_type,test,renyi_2,renyi_norm,purity,depth,qubit_i,qubit_j,distance,mutual_info,test_type,correlation,shots,error_rate,mitigated,correlation_avg_ones,correlation_zz_norm,mutual_info_approx,norm_theoretical,norm_observed,norm_num_states
4,54,3.533722350364246,0.8834305875910615,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,55,3.603341846440159,0.9008354616100398,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,56,3.494831025145416,0.873707756286354,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,57,3.3345334241936957,0.8336333560484239,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,58,3.403723552188404,0.850930888047101,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,59,3.6203752248331003,0.9050938062082751,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,60,3.5563617680307806,0.8890904420076952,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,61,3.445339917706496,0.861334979426624,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,62,3.48347133987992,0.87086783496998,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,63,3.49264877827329,0.8731621945683224,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,64,3.427550795638554,0.8568876989096385,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,65,3.653285338559121,0.9133213346397803,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,66,3.2058527147345246,0.8014631786836312,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,67,3.3698271485478273,0.8424567871369568,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,68,3.5957422230085188,0.8989355557521297,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,69,3.540072093922599,0.8850180234806497,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,70,3.390237837809827,0.8475594594524567,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,71,3.4461099203524967,0.8615274800881242,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,72,3.1989901709469897,0.7997475427367474,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,73,3.1992090131510587,0.7998022532877647,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,74,3.3678338002558443,0.8419584500639611,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,75,3.4663639347548765,0.8665909836887191,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,76,3.395821852102782,0.8489554630256955,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,77,3.2490138017024695,0.8122534504256174,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,78,3.632179658624359,0.9080449146560897,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,79,2.8107582782194687,0.7026895695548672,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,80,3.331477810366788,0.832869452591697,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,81,3.310050183957823,0.8275125459894558,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,82,3.3941759978352826,0.8485439994588206,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,83,3.5968075887275943,0.8992018971818986,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,84,3.394318581845497,0.8485796454613742,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,85,3.3288121726017104,0.8322030431504276,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,86,3.337450172340426,0.8343625430851065,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,87,3.3686694625049607,0.8421673656262402,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,88,3.192621541265679,0.7981553853164197,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,89,3.196097068434666,0.7990242671086665,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,90,3.5017279566256376,0.8754319891564094,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,91,3.5046525875214494,0.8761631468803623,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,92,3.5465097029227928,0.8866274257306982,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,93,3.2601129665001043,0.8150282416250261,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,94,3.540513110250891,0.8851282775627227,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,95,3.2859061858827063,0.8214765464706766,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,96,3.16817369766523,0.7920434244163075,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,97,2.9509334111141943,0.7377333527785486,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,98,3.3781447021972006,0.8445361755493002,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,99,3.439895208685544,0.859973802171386,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,100,3.214372944601862,0.8035932361504655,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,101,3.5621698900613437,0.8905424725153359,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,102,3.340583025511953,0.8351457563779883,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,103,3.240406223339645,0.8101015558349113,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,104,3.4721482909947303,0.8680370727486826,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,105,3.2399082910490296,0.8099770727622574,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,106,3.6667670809871122,0.9166917702467781,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,107,3.3913017262018337,0.8478254315504584,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,108,3.49800612836003,0.8745015320900075,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,109,2.784320185887183,0.6960800464717958,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,110,3.374701846581536,0.843675461645384,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,111,3.4425073682362166,0.8606268420590542,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,112,3.614538046066519,0.9036345115166298,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,113,3.520724886977886,0.8801812217444716,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,114,3.28994952357613,0.8224873808940325,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,115,3.5901621363440857,0.8975405340860214,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,116,3.8265077441348043,0.9566269360337011,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,117,3.701385073120902,0.9253462682802255,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,118,3.4184408478448733,0.8546102119612183,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,119,2.965152774252364,0.741288193563091,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,120,3.3404654733240116,0.8351163683310029,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,121,3.5078370041713285,0.8769592510428321,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,122,3.4480402662884795,0.8620100665721199,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,123,3.2806796733221604,0.8201699183305401,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,124,3.4434233846382494,0.8608558461595623,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,125,3.4949782684503385,0.8737445671125846,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,126,3.4098094548575646,0.8524523637143911,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,127,3.656323218184189,0.9140808045460472,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,128,3.1880073223133443,0.7970018305783361,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,129,3.6613128663755945,0.9153282165938986,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,130,3.552563602575453,0.8881409006438632,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,131,3.6139412053222753,0.9034853013305688,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,132,3.648928972631948,0.912232243157987,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,133,3.4606890539037143,0.8651722634759286,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,134,3.5139540325060183,0.8784885081265046,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,135,3.380154823554987,0.8450387058887467,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,136,3.441852005073066,0.8604630012682665,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,137,3.728006818268223,0.9320017045670558,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,138,3.491212206694955,0.8728030516737387,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,139,3.593949015085044,0.898487253771261,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,140,3.3699002009404233,0.8424750502351058,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,141,3.1218466523399844,0.7804616630849961,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,142,3.728118938451292,0.932029734612823,haar_like,test1,,,,,,,,,,,,,,,,,,,
